fips,state,County,pop2019,cases,deaths,cases_per_cap,deaths_per_cap
01001,Alabama,Autauga County,55869,0.0,0.0,0.0,0.0
01003,Alabama,Baldwin County,223234,29.0,1.0,13.0,0.0
01005,Alabama,Barbour County,24686,2.0,0.0,8.0,0.0
01007,Alabama,Bibb County,22394,4.0,0.0,18.0,0.0
01009,Alabama,Blount County,57826,10.0,0.0,17.0,0.0
01011,Alabama,Bullock County,10101,2.0,0.0,20.0,0.0
01013,Alabama,Butler County,19448,1.0,0.0,5.0,0.0
01015,Alabama,Calhoun County,113605,21.0,0.0,18.0,0.0
01017,Alabama,Chambers County,33254,87.0,6.0,262.0,18.0
01019,Alabama,Cherokee County,26196,6.0,0.0,23.0,0.0
01021,Alabama,Chilton County,44428,15.0,0.0,34.0,0.0
01023,Alabama,Choctaw County,12589,4.0,0.0,32.0,0.0
01025,Alabama,Clarke County,23622,7.0,0.0,30.0,0.0
01027,Alabama,Clay County,13235,9.0,0.0,68.0,0.0
01029,Alabama,Cleburne County,14910,7.0,0.0,47.0,0.0
01031,Alabama,Coffee County,52342,7.0,0.0,13.0,0.0
01033,Alabama,Colbert County,55241,5.0,0.0,9.0,0.0
01035,Alabama,Conecuh County,12067,2.0,0.0,17.0,0.0
01037,Alabama,Coosa County,10663,6.0,0.0,56.0,0.0
01039,Alabama,Covington County,37049,4.0,0.0,11.0,0.0
01041,Alabama,Crenshaw County,13772,2.0,0.0,15.0,0.0
01043,Alabama,Cullman County,83768,15.0,1.0,18.0,1.0
01045,Alabama,Dale County,49172,2.0,0.0,4.0,0.0
01047,Alabama,Dallas County,37196,7.0,0.0,19.0,0.0
01049,Alabama,DeKalb County,71513,13.0,0.0,18.0,0.0
01051,Alabama,Elmore County,81209,19.0,0.0,23.0,0.0
01053,Alabama,Escambia County,36633,2.0,0.0,5.0,0.0
01055,Alabama,Etowah County,102268,27.0,3.0,26.0,3.0
01057,Alabama,Fayette County,16302,1.0,0.0,6.0,0.0
01059,Alabama,Franklin County,31362,6.0,0.0,19.0,0.0
01061,Alabama,Geneva County,26271,0.0,0.0,0.0,0.0
01063,Alabama,Greene County,8111,5.0,0.0,62.0,0.0
01065,Alabama,Hale County,14651,3.0,0.0,20.0,0.0
01067,Alabama,Henry County,17205,2.0,0.0,12.0,0.0
01069,Alabama,Houston County,105882,14.0,1.0,13.0,1.0
01071,Alabama,Jackson County,51626,13.0,1.0,25.0,2.0
01073,Alabama,Jefferson County,658573,376.0,9.0,57.0,1.0
01075,Alabama,Lamar County,13805,3.0,0.0,22.0,0.0
01077,Alabama,Lauderdale County,92729,16.0,2.0,17.0,2.0
01079,Alabama,Lawrence County,32924,4.0,0.0,12.0,0.0
01081,Alabama,Lee County,164542,104.0,3.0,63.0,2.0
01083,Alabama,Limestone County,98915,31.0,0.0,31.0,0.0
01085,Alabama,Lowndes County,9726,3.0,0.0,31.0,0.0
01087,Alabama,Macon County,18068,5.0,0.0,28.0,0.0
01089,Alabama,Madison County,372909,126.0,1.0,34.0,0.0
01091,Alabama,Marengo County,18863,8.0,0.0,42.0,0.0
01093,Alabama,Marion County,29709,17.0,2.0,57.0,7.0
01095,Alabama,Marshall County,96774,17.0,0.0,18.0,0.0
01097,Alabama,Mobile County,413210,114.0,5.0,28.0,1.0
01099,Alabama,Monroe County,20733,5.0,0.0,24.0,0.0
01101,Alabama,Montgomery County,226486,63.0,1.0,28.0,0.0
01103,Alabama,Morgan County,119679,24.0,0.0,20.0,0.0
01105,Alabama,Perry County,8923,1.0,0.0,11.0,0.0
01107,Alabama,Pickens County,19930,12.0,0.0,60.0,0.0
01109,Alabama,Pike County,33114,10.0,0.0,30.0,0.0
01111,Alabama,Randolph County,22722,11.0,1.0,48.0,4.0
01113,Alabama,Russell County,57961,6.0,0.0,10.0,0.0
01115,Alabama,St. Clair County,89512,25.0,0.0,28.0,0.0
01117,Alabama,Shelby County,217702,127.0,5.0,58.0,2.0
01119,Alabama,Sumter County,12427,6.0,0.0,48.0,0.0
01121,Alabama,Talladega County,79978,16.0,0.0,20.0,0.0
01123,Alabama,Tallapoosa County,40367,20.0,1.0,50.0,2.0
01125,Alabama,Tuscaloosa County,209355,44.0,0.0,21.0,0.0
01127,Alabama,Walker County,63521,49.0,0.0,77.0,0.0
01129,Alabama,Washington County,16326,5.0,1.0,31.0,6.0
01131,Alabama,Wilcox County,10373,11.0,0.0,106.0,0.0
01133,Alabama,Winston County,23629,3.0,0.0,13.0,0.0
